frequency,s11,s12_mag,s12_phase,s22,r_mag,r_phase,alfa,coherence
2314,4.1494,2.5207,-1.4373,2.3049,0.251,-2.593,0.94,0.65
2320,3.3543,2.5303,-1.4181,2.6424,0.146,-2.532,0.98,0.72
2326,4.9917,2.9439,-1.4692,2.495,0.267,-2.514,0.93,0.69
2332,4.4627,2.4284,-1.4283,2.0504,0.307,-2.587,0.91,0.63
2337,4.9366,2.878,-1.4983,2.4545,0.274,-2.429,0.92,0.68
2343,4.3872,2.4962,-1.4278,2.155,0.28,-2.538,0.92,0.66
2349,4.5447,2.9405,-1.4589,2.6575,0.221,-2.459,0.95,0.7
2355,4.6957,2.8036,-1.469,2.4158,0.26,-2.429,0.93,0.69
2361,5.4725,3.297,-1.417,2.6882,0.253,-2.509,0.94,0.74
2367,6.0779,3.4827,-1.4906,2.734,0.28,-2.376,0.92,0.73
2373,6.4171,3.4238,-1.5021,2.5253,0.312,-2.364,0.9,0.72
2378,6.052,3.4834,-1.5382,2.7341,0.28,-2.27,0.92,0.73
2384,6.5025,4.0113,-1.3341,3.0755,0.243,-2.627,0.94,0.8
2390,7.321,4.3905,-1.4887,3.3444,0.258,-2.315,0.93,0.78
2396,6.1991,3.5822,-1.4175,2.7339,0.272,-2.433,0.93,0.75
2402,5.9329,3.5955,-1.505,2.8862,0.252,-2.251,0.94,0.75
2408,7.1847,4.1628,-1.4361,3.0884,0.271,-2.376,0.93,0.78
2414,6.7125,4.0684,-1.3959,3.1239,0.248,-2.433,0.94,0.78
2419,9.9494,5.8817,-1.3619,4.0807,0.262,-2.474,0.93,0.85
2425,9.5391,5.6887,-1.3522,3.9917,0.259,-2.486,0.93,0.85
2431,8.779,5.4509,-1.3517,3.9916,0.241,-2.491,0.94,0.84
2437,9.6766,5.4633,-1.3637,3.684,0.284,-2.418,0.92,0.84
2443,8.1276,4.581,-1.3373,3.168,0.288,-2.46,0.92,0.81
2449,10.5553,5.919,-1.352,3.9005,0.295,-2.427,0.91,0.84
2455,8.5551,4.7867,-1.3308,3.2526,0.291,-2.425,0.92,0.82
2460,9.7133,5.916,-1.3598,4.2019,0.249,-2.401,0.94,0.85
2466,7.5415,4.3138,-1.2961,3.0249,0.286,-2.461,0.92,0.82
2472,7.5694,4.3713,-1.3362,3.107,0.278,-2.384,0.92,0.81
2478,7.2908,4.3723,-1.3313,3.2061,0.259,-2.4,0.93,0.82
2484,7.0015,4.1615,-1.2284,2.9916,0.283,-2.553,0.92,0.82
2490,5.7366,3.5765,-1.3848,2.8056,0.236,-2.286,0.94,0.79
2496,7.1185,4.0668,-1.2254,2.8297,0.302,-2.494,0.91,0.82
2501,7.2057,3.9397,-1.242,2.6487,0.319,-2.427,0.9,0.81
2507,4.8688,3.0137,-1.2066,2.3874,0.276,-2.571,0.92,0.77
2513,5.8635,3.4534,-1.2209,2.551,0.295,-2.489,0.91,0.79
2519,7.2646,4.2909,-1.2677,3.0527,0.282,-2.401,0.92,0.83
2525,6.8916,4.3148,-1.2334,3.2248,0.263,-2.484,0.93,0.84
2531,6.8294,4.1999,-1.1706,3.0609,0.288,-2.548,0.92,0.84
2537,8.3813,4.8931,-1.1919,3.3207,0.305,-2.452,0.91,0.86
2542,6.9011,4.4093,-1.1506,3.2842,0.283,-2.602,0.92,0.85
2548,5.51,3.6822,-1.2687,2.976,0.229,-2.431,0.95,0.83
2554,7.7471,4.9638,-1.1657,3.654,0.277,-2.539,0.92,0.87
2560,6.9471,4.5285,-1.2095,3.449,0.26,-2.479,0.93,0.85
2566,7.7264,5.0916,-1.1751,3.8368,0.268,-2.537,0.93,0.87
2572,6.1276,3.8949,-1.1638,2.9445,0.283,-2.484,0.92,0.84
2578,7.9484,5.1219,-1.1157,3.7293,0.3,-2.553,0.91,0.88
2583,5.7859,3.8921,-1.1084,3.0651,0.286,-2.596,0.92,0.85
2589,5.2734,3.423,-1.122,2.6721,0.294,-2.523,0.91,0.83
2595,7.8464,5.4068,-1.1633,4.1871,0.259,-2.537,0.93,0.89
2601,8.3579,5.8281,-1.0629,4.4421,0.295,-2.648,0.91,0.91
2607,7.7164,5.258,-1.1224,4.0295,0.279,-2.536,0.92,0.89
2613,6.9148,4.5601,-1.1556,3.4509,0.279,-2.432,0.92,0.87
2619,8.0495,5.4234,-1.0927,4.062,0.299,-2.52,0.91,0.9
2625,7.3877,5.3136,-1.1465,4.2747,0.256,-2.541,0.93,0.89
2630,8.008,5.4922,-1.1408,4.2027,0.274,-2.458,0.92,0.9
2636,6.935,5.1935,-1.1155,4.3265,0.259,-2.606,0.93,0.9
2642,6.7442,4.9253,-1.1158,4.0344,0.267,-2.55,0.93,0.89
2648,7.0888,4.8547,-1.1478,3.7452,0.275,-2.396,0.92,0.89
2654,8.1223,6.2367,-1.1244,5.2275,0.252,-2.591,0.94,0.92
2660,8.4987,6.2396,-1.0259,4.9322,0.31,-2.587,0.9,0.93
2666,6.8216,4.9959,-1.0561,4.0547,0.298,-2.541,0.91,0.9
2671,5.4938,4.1921,-1.0769,3.6214,0.282,-2.571,0.92,0.88
2677,6.472,5.2158,-1.0558,4.6002,0.28,-2.665,0.92,0.91
2683,6.2045,4.7281,-1.0788,4.0211,0.282,-2.532,0.92,0.9
2689,3.797,3.2066,-1.1331,3.1379,0.236,-2.669,0.94,0.86
2695,6.1558,4.8484,-1.0856,4.2395,0.273,-2.55,0.93,0.9
2701,4.4456,3.4598,-1.0754,3.1083,0.282,-2.518,0.92,0.86
2707,6.8707,5.4814,-1.0643,4.7793,0.284,-2.55,0.92,0.91
2712,4.0275,3.1551,-1.045,2.8741,0.3,-2.516,0.91,0.86
2718,4.3241,3.5011,-1.0054,3.2185,0.324,-2.575,0.9,0.87
2724,5.1789,4.1361,-0.9718,3.6348,0.336,-2.553,0.89,0.91
2730,5.3165,4.445,-1.0264,4.1086,0.301,-2.579,0.91,0.9
2736,3.126,2.5327,-1.0219,2.4538,0.31,-2.512,0.9,0.84
2742,4.1402,3.5319,-1.0084,3.403,0.311,-2.583,0.9,0.88
2748,3.5196,2.876,-0.9605,2.6994,0.343,-2.516,0.88,0.87
2753,3.2362,2.6457,-0.9257,2.487,0.363,-2.512,0.87,0.87
2759,3.1043,2.8694,-0.9979,3.0477,0.313,-2.663,0.9,0.87
2765,4.0515,3.4316,-1.0023,3.2807,0.323,-2.499,0.9,0.88
2771,2.3171,1.9466,-0.9939,2.0296,0.33,-2.462,0.89,0.8
2777,3.9749,3.6862,-0.9811,3.7952,0.329,-2.611,0.89,0.9
2783,2.9803,2.6795,-1.0305,2.8283,0.304,-2.531,0.91,0.85
2789,3.588,3.2201,-1.0255,3.2932,0.311,-2.506,0.9,0.88
2794,3.5407,3.2434,-1.037,3.3898,0.304,-2.523,0.91,0.87
2800,3.4713,3.5738,-1.0567,4.1167,0.292,-2.709,0.91,0.89
2806,2.7875,2.5582,-0.9602,2.7212,0.346,-2.5,0.88,0.86
2812,3.1515,2.861,-1.0867,3.0268,0.282,-2.429,0.92,0.86
2818,3.3852,3.3995,-1.0405,3.8584,0.303,-2.6,0.91,0.88
2824,3.0616,3.003,-0.9783,3.3357,0.34,-2.537,0.88,0.88
2830,3.0489,2.9481,-1.0305,3.2746,0.314,-2.495,0.9,0.87
2835,3.7603,3.7996,-1.0159,4.2559,0.322,-2.548,0.9,0.9
2841,2.9137,2.8286,-1.0614,3.1865,0.306,-2.436,0.91,0.85
2847,3.2037,3.2599,-1.0582,3.7711,0.302,-2.517,0.91,0.88
2853,3.4911,3.7785,-1.0452,4.5498,0.314,-2.601,0.9,0.9
2859,3.3007,3.6178,-1.0334,4.4219,0.321,-2.598,0.9,0.9
2865,3.4674,3.6155,-1.1194,4.2545,0.277,-2.502,0.92,0.88
2871,3.4585,3.8344,-1.0624,4.7354,0.31,-2.578,0.9,0.9
2876,3.0536,3.0888,-1.0775,3.5599,0.3,-2.403,0.91,0.88
2882,3.2648,3.8013,-1.0486,4.9107,0.325,-2.607,0.89,0.9
2888,2.9739,3.3847,-1.0513,4.3375,0.323,-2.552,0.9,0.89
2894,3.1643,3.3605,-1.0841,4.0262,0.303,-2.424,0.91,0.89
2900,2.4103,2.5773,-1.0889,3.246,0.303,-2.413,0.91,0.85
2906,2.7402,3.1107,-1.1399,4.0757,0.282,-2.509,0.92,0.86
2912,2.5953,3.1015,-1.1372,4.2834,0.291,-2.574,0.92,0.86
2917,1.9927,2.3384,-1.1179,3.3197,0.3,-2.512,0.91,0.83
2923,2.4662,2.83,-1.103,3.776,0.307,-2.449,0.91,0.86
2929,2.0812,2.5357,-1.0727,3.647,0.331,-2.508,0.89,0.85
2935,2.0166,2.3843,-1.1396,3.4135,0.295,-2.464,0.91,0.82
2941,1.8078,2.2346,-1.1294,3.3871,0.308,-2.508,0.91,0.81
2947,1.7422,2.1678,-1.0871,3.2965,0.332,-2.476,0.89,0.81
2953,2.13,2.5541,-1.0607,3.5671,0.34,-2.389,0.88,0.86
2958,1.663,1.9762,-1.1639,2.9757,0.293,-2.385,0.91,0.78
2964,1.666,1.9361,-1.2115,2.8732,0.266,-2.36,0.93,0.78
2970,1.5118,1.8544,-1.1945,2.9524,0.284,-2.405,0.92,0.76
2976,1.2538,1.4231,-1.0813,2.1841,0.332,-2.217,0.89,0.73
2982,1.4232,1.8961,-1.1547,3.2508,0.32,-2.475,0.9,0.78
2988,1.3859,1.6786,-1.2134,2.7283,0.277,-2.34,0.92,0.74
2994,1.3084,1.662,-1.1183,2.7716,0.331,-2.34,0.89,0.76
3000,1.6663,2.2523,-1.1583,3.7548,0.326,-2.422,0.89,0.81
